J203229-573935 20h32m29.8214s,-57d39m35.712s 9351
J205024-551728 20h50m24.7169s,-55d17m28.1364s 9351
J203525-574951 20h35m25.2576s,-57d49m51.3948s 9351
J201916-565154 20h19m16.3678s,-56d51m54.3564s 9351
J201928-565127 20h19m28.524s,-56d51m27.3492s 9351
J202713-551949 20h27m13.7558s,-55d19m49.3644s 9351
J203408-554608 20h34m08.1598s,-55d46m08.2308s 9351
J204609-541535 20h46m09.4289s,-54d15m35.4384s 9351
J202934-535210 20h29m34.0399s,-53d52m10.7076s 9351
J202715-551735 20h27m15.3449s,-55d17m35.3508s 9351
J203418-554702 20h34m18.2237s,-55d47m02.5872s 9351
J205205-570320 20h52m05.6686s,-57d03m20.1384s 9351
J204255-553844 20h42m55.6834s,-55d38m44.5524s 9351
J202413-554250 20h24m13.1414s,-55d42m50.5008s 9351
J210026-555346 21h00m26.7523s,-55d53m46.9392s 9351
J204513-535500 20h45m13.7964s,-53d54m59.3388s 9351
J204109-552819 20h41m09.0502s,-55d28m19.9344s 9351
J203732-532511 20h37m32.5973s,-53d25m11.8956s 9351
J201828-554822 20h18m28.0519s,-55d48m22.8744s 9351
J203449-555429 20h34m49.823s,-55d54m29.1384s 9351
J203111-560105 20h31m11.772s,-56d01m05.1024s 9351
J204109-565906 20h41m09.617s,-56d59m06.288s 9351
J203904-562229 20h39m04.9267s,-56d22m29.5824s 9351
J204621-583617 20h46m21.1171s,-58d36m17.136s 9351
J210006-551549 21h00m06.4409s,-55d15m49.9968s 9351
J204039-534614 20h40m39.6362s,-53d46m14.88s 9351
J204735-540300 20h47m35.5831s,-54d02m59.3952s 9351
J203752-551551 20h37m52.2814s,-55d15m51.5124s 9351
J204731-553500 20h47m31.4935s,-55d35m00.186s 9351
J203911-561056 20h39m11.6201s,-56d10m56.3196s 9351
J203857-560929 20h38m57.2004s,-56d09m29.5236s 9351
J205603-533645 20h56m03.8112s,-53d36m45.3672s 9351
J205707-542228 20h57m07.3615s,-54d22m28.5636s 9351
J202908-554012 20h29m08.5159s,-55d40m12.0936s 9351
J204448-541022 20h44m48.0163s,-54d10m22.5408s 9351
J204153-565230 20h41m53.6554s,-56d52m30.648s 9351
J204058-574632 20h40m58.8154s,-57d46m32.7288s 9351
J205613-564241 20h56m13.3106s,-56d42m41.2704s 9351
J210116-554334 21h01m16.781s,-55d43m34.2048s 9351
J204436-573729 20h44m36.6427s,-57d37m29.676s 9351
J203358-565354 20h33m58.199s,-56d53m54.3228s 9351
J204753-570428 20h47m53.7132s,-57d04m28.1928s 9351
J204728-564110 20h47m28.7818s,-56d41m10.9644s 9351
J203549-565013 20h35m49.7016s,-56d50m13.938s 9351
J204114-571811 20h41m13.9877s,-57d18m11.2032s 9351
J203413-540130 20h34m13.9217s,-54d01m30.8496s 9351
J203836-534520 20h38m36.0864s,-53d45m20.0016s 9351
J204255-545409 20h42m55.2598s,-54d54m09.0252s 9351
J205107-555614 20h51m07.1275s,-55d56m14.19s 9351
J202257-553653 20h22m57.6461s,-55d36m53.3124s 9351
J203912-561153 20h39m12.6139s,-56d11m53.9952s 9351
J203611-570938 20h36m11.4768s,-57d09m38.7792s 9351
J204302-573301 20h43m02.7914s,-57d33m01.098s 9351
J204310-532755 20h43m09.9794s,-53d27m55.0332s 9351
J203630-570719 20h36m30.6226s,-57d07m19.9596s 9351
J202303-540608 20h23m03.9252s,-54d06m08.082s 9351
J202614-565512 20h26m14.6155s,-56d55m12.2376s 9351
J204940-550729 20h49m40.6198s,-55d07m29.6508s 9351
J205042-554758 20h50m42.1286s,-55d47m58.1208s 9351
J205623-545214 20h56m23.7653s,-54d52m14.5668s 9351
J205343-540226 20h53m43.1177s,-54d02m26.9088s 9351
J203428-565633 20h34m28.8605s,-56d56m33.558s 9351
J204141-561021 20h41m41.6866s,-56d10m21.6732s 9351
J205840-551651 20h58m40.193s,-55d16m51.3624s 9351
J210024-533215 21h00m24.605s,-53d32m15.936s 9351
J204513-554500 20h45m13.1575s,-55d45m00.3348s 9351
J204712-561153 20h47m12.3156s,-56d11m53.3436s 9351
J204533-530223 20h45m33.3199s,-53d02m23.658s 9351
J205303-552440 20h53m03.6466s,-55d24m40.6512s 9351
J203525-564950 20h35m25.0243s,-56d49m50.97s 9351
J202937-555202 20h29m37.8211s,-55d52m02.1396s 9351
J204746-564404 20h47m46.0219s,-56d44m04.6176s 9351
J202602-553602 20h26m02.5164s,-55d36m02.304s 9351
J210005-562351 21h00m05.7187s,-56d23m51.4428s 9351
J202329-561708 20h23m29.3738s,-56d17m08.5056s 9351
J205542-574903 20h55m42.8568s,-57d49m03.4824s 9351
J202609-542754 20h26m09.8014s,-54d27m54.9432s 9351
J204333-563230 20h43m33.5916s,-56d32m30.0228s 9351
J202217-554252 20h22m17.6078s,-55d42m52.2432s 9351
J205850-532040 20h58m50.8649s,-53d20m40.5816s 9351
J205852-535252 20h58m52.8727s,-53d52m52.0176s 9351
J203625-530855 20h36m25.0771s,-53d08m55.3704s 9351
J203632-541753 20h36m32.4206s,-54d17m53.1672s 9351
J203543-544231 20h35m43.3238s,-54d42m31.7628s 9351
J205806-554618 20h58m06.889s,-55d46m18.3216s 9351
J204639-544549 20h46m39.5856s,-54d45m49.7484s 9351
J204626-540051 20h46m26.1259s,-54d00m51.4188s 9351
J202417-533330 20h24m17.7365s,-53d33m30.8016s 9351
J203129-534417 20h31m29.2555s,-53d44m17.3724s 9351
J210247-555248 21h02m47.4523s,-55d52m48.7488s 9351
J202434-554544 20h24m34.2086s,-55d45m44.406s 9351
J203005-550457 20h30m05.4516s,-55d04m57.9396s 9351
J204158-541501 20h41m58.6116s,-54d15m01.5588s 9351
J205951-575121 20h59m51.4015s,-57d51m21.0384s 9351
J203621-564224 20h36m21.0655s,-56d42m24.0012s 9351
J203619-564114 20h36m19.2509s,-56d41m14.7876s 9351
J210339-554257 21h03m38.9784s,-55d42m57.4128s 9351
J203152-543534 20h31m52.29s,-54d35m34.9404s 9351
J205305-562508 20h53m05.3611s,-56d25m08.3784s 9351
J205859-581315 20h58m59.7636s,-58d13m15.654s 9351
J204149-570002 20h41m48.9922s,-57d00m02.1132s 9351
J204551-564336 20h45m51.2136s,-56d43m36.4584s 9351
J204805-560836 20h48m05.1977s,-56d08m36.8988s 9351
J202520-545939 20h25m20.6705s,-54d59m39.7536s 9351
J202236-561625 20h22m36.2458s,-56d16m25.7484s 9351
J202312-535543 20h23m12.223s,-53d55m43.878s 9351
J205157-545326 20h51m57.0662s,-54d53m26.3328s 9351
J203355-564848 20h33m55.7318s,-56d48m48.222s 9351
J202517-564707 20h25m17.8061s,-56d47m07.89s 9351
J204234-544111 20h42m34.6812s,-54d41m11.976s 9351
J204540-550741 20h45m40.633s,-55d07m41.7324s 9351
J204816-572233 20h48m16.8859s,-57d22m33.9852s 9351
J203206-552953 20h32m06.3734s,-55d29m53.1024s 9351
J203145-553758 20h31m45.3802s,-55d37m58.7352s 9351
J203658-563934 20h36m58.1395s,-56d39m34.4232s 9351
J202000-555309 20h20m00.2489s,-55d53m09.3552s 9351
J210238-552625 21h02m38.5541s,-55d26m25.278s 9351
J204303-565618 20h43m03.3216s,-56d56m18.204s 9351
J203913-555643 20h39m13.483s,-55d56m43.9116s 9351
J203648-541811 20h36m47.975s,-54d18m11.844s 9351
J202802-553421 20h28m02.8802s,-55d34m21.2808s 9351
J210242-554454 21h02m42.1243s,-55d44m54.1824s 9351
